Torque,Speed
20,0
23.08,4.2
26.6343,9.0468
30.736,14.64
35.4694,21.0946
40.9316,28.5431
47.2351,37.1388
54.5093,47.0581
62.9037,58.5051
72.5909,71.7149
78.9863,86.959
84.5154,103.546
90.4314,121.294
96.7616,140.285
101.06,160.605
103.183,181.828
102.902,203.496
89.9367,225.105
78.6047,243.992
59.2512,260.499
40.5871,272.942
27.8022,281.465
19.0445,287.304
13.0455,291.303
8.93615,294.043
6.12126,295.919
4.19306,297.205
2.87225,298.085
1.96749,298.688
1.34773,299.102
0.923196,299.385
0.632389,299.578
0.433187,299.711
0.296733,299.802
0.203262,299.864
0.139234,299.907
0.0953756,299.936
0.0653323,299.956
0.0447526,299.97
0.0306555,299.98
0.020999,299.986
0.0143843,299.99
0.00985328,299.993
0.00674949,299.996
0.0046234,299.997
0.00316703,299.998
0.00216942,299.999
0.00148605,299.999
0.00101794,299.999
0.000697292,300
0.000477645,300
0.000327187,300
0.000224123,300
0.000153524,300
0.000105164,300
7.20374e-05,300
4.93456e-05,300
3.38018e-05,300
2.31542e-05,300
1.58606e-05,300
1.08645e-05,300
7.4422e-06,300
5.09791e-06,300
3.49207e-06,300
2.39207e-06,300
1.63857e-06,300
1.12242e-06,300
7.68856e-07,300
5.26666e-07,300
3.60766e-07,300
2.47125e-07,300
1.69281e-07,300
1.15957e-07,300
7.94307e-08,300
5.44101e-08,300
3.72709e-08,300
2.55306e-08,300
1.74885e-08,300
1.19796e-08,300
8.206e-09,300
5.6211e-09,300
3.85049e-09,300
2.63759e-09,300
1.80677e-09,300
1.23762e-09,300
